Sheet 1,,,,,,,,,
Date,SHA,SHE,CSI300,Share,Share_V,Gain_Loss,DailyGain,Market_Value,Principle,SP500,Nasdaq,FTSE100,HangSeng
20/01/2014,1991.25,7524.33,2165.99,320000.00,1.12,37579.57,0.00,357579.57,320000.00,,,6836.70,22928.95
21/01/2014,2008.31,7593.43,2187.41,320000.00,1.12,38785.09,1205.52,358785.09,320000.00,1843.80,4225.76,6834.30,23033.12
22/01/2014,2051.75,7820.45,2243.80,337837.98,1.15,47514.91,8729.82,387514.91,340000.00,1844.86,4243.00,6826.30,23082.25
23/01/2014,2042.18,7788.47,2231.89,337837.98,1.15,47708.82,193.91,387708.82,340000.00,1828.46,4218.88,6773.30,22733.90
24/01/2014,2054.39,7855.14,2245.68,337837.98,1.15,48325.54,616.72,388325.54,340000.00,1790.29,4128.17,6663.70,22450.06
25/01/2014,2054.39,7855.14,2245.68,337837.98,1.15,48325.54,0.00,388325.54,340000.00,1790.29,4128.17,6663.70,22450.06
26/01/2014,2054.39,7855.14,2245.68,337837.98,1.15,48325.54,0.00,388325.54,340000.00,1790.29,4128.17,6663.70,22450.06
27/01/2014,2033.30,7752.54,2215.92,337837.98,1.13,40325.54,(8000.00),380325.54,340000.00,1781.56,4083.61,6550.70,21976.10
28/01/2014,2038.51,7740.75,2219.85,337837.98,1.13,40825.54,500.00,380825.54,340000.00,1792.50,4097.96,6572.30,21960.64
29/01/2014,2049.91,7707.59,2227.78,311224.37,1.11,37000.00,(3825.54),347000.00,310000.00,1774.20,4051.43,6544.30,22141.61
30/01/2014,2033.08,7572.63,2202.45,311224.37,1.11,35000.00,(2000.00),345000.00,310000.00,1794.19,4123.13,6538.50,22035.42
31/01/2014,2033.08,7572.63,2202.45,311224.37,1.11,35000.00,0.00,345000.00,310000.00,1782.59,4103.88,6510.40,22035.42
01/02/2014,2033.08,7572.63,2202.45,311224.37,1.11,35000.00,0.00,345000.00,310000.00,1782.59,4103.88,6510.40,
02/02/2014,2033.08,7572.63,2202.45,311224.37,1.11,35000.00,0.00,345000.00,310000.00,1782.59,4103.88,6510.40,
03/02/2014,2033.08,7572.63,2202.45,311224.37,1.11,35000.00,0.00,345000.00,310000.00,1741.89,3996.96,6465.70,
04/02/2014,2033.08,7572.63,2202.45,311224.37,1.11,35000.00,0.00,345000.00,310000.00,1755.20,4031.52,6449.30,21397.77
05/02/2014,2033.08,7572.63,2202.45,311224.37,1.11,35000.00,0.00,345000.00,310000.00,1751.64,4011.55,6457.90,21269.38
06/02/2014,2033.08,7572.63,2202.45,311224.37,1.11,35000.00,0.00,345000.00,310000.00,1773.43,4057.12,6558.30,21423.13
07/02/2014,2044.50,7616.57,2212.48,311224.37,1.11,34200.00,(800.00),344200.00,310000.00,1797.02,4125.86,6571.70,21636.85
08/02/2014,2044.50,7616.57,2212.48,311224.37,1.11,34200.00,0.00,344200.00,310000.00,1797.02,4125.86,6571.70,21636.85
09/02/2014,2044.50,7616.57,2212.48,311224.37,1.11,34200.00,0.00,344200.00,310000.00,1797.02,4125.86,6571.70,21636.85
10/02/2014,2086.07,7812.16,2267.53,311224.37,1.13,41700.00,7500.00,351700.00,310000.00,1799.84,4148.17,6591.60,21579.26
11/02/2014,2103.67,7838.12,2285.56,320073.52,1.13,42622.00,922.00,362622.00,320000.00,1819.75,4191.05,6672.70,21962.98
12/02/2014,2109.96,7902.08,2291.25,320073.52,1.14,45666.00,3044.00,365666.00,320000.00,1819.26,4201.29,6675.00,22285.79
13/02/2014,2098.40,7857.11,2279.55,320073.52,1.14,45301.00,(365.00),365301.00,320000.00,1829.83,4240.67,6659.40,22165.53
14/02/2014,2115.85,7883.75,2295.57,320073.52,1.14,46478.61,1177.61,366478.61,320000.00,1838.63,4244.02,6663.60,22298.41
15/02/2014,2115.85,7883.75,2295.57,320073.52,1.14,46478.61,0.00,366478.61,320000.00,1838.63,4244.02,6663.60,22298.41
16/02/2014,2115.85,7883.75,2295.57,320073.52,1.14,46478.61,0.00,366478.61,320000.00,1838.63,4244.02,6663.60,22298.41
17/02/2014,2135.41,7943.96,2311.65,320073.52,1.15,48219.56,1740.95,368219.56,320000.00,1838.63,4244.02,6736.00,22535.94
18/02/2014,2119.07,7832.47,2282.44,320073.52,1.14,45231.67,(2987.89),365231.67,320000.00,1840.76,4272.78,6796.40,22587.72
19/02/2014,2142.55,7953.94,2308.66,320073.52,1.16,49953.66,4721.99,369953.66,320000.00,1828.75,4237.95,6796.70,22664.52
20/02/2014,2138.78,7842.12,2287.44,320073.52,1.14,43765.94,(6187.72),363765.94,320000.00,1839.78,4267.55,6813.00,22394.08
21/02/2014,2113.69,7750.56,2264.29,320073.52,1.14,43604.84,(161.10),363604.84,320000.00,1836.25,4263.41,6838.10,22568.24
22/02/2014,2113.69,7750.56,2264.29,320073.52,1.14,43604.84,0.00,363604.84,320000.00,1836.25,4263.41,6838.10,22568.24
23/02/2014,2113.69,7750.56,2264.29,320073.52,1.14,43604.84,0.00,363604.84,320000.00,1836.25,4263.41,6838.10,22568.24
24/02/2014,2076.69,7542.53,2214.51,328876.30,1.10,31089.41,(12515.43),361089.41,330000.00,1847.61,4292.97,6865.90,22388.56
25/02/2014,2034.22,7303.95,2157.91,328876.30,1.07,21895.16,(9194.25),351895.16,330000.00,1845.12,4287.59,6830.50,22317.20
26/02/2014,2041.25,7319.61,2163.41,328876.30,1.07,21003.29,(891.87),351003.29,330000.00,1845.16,4292.06,6799.20,22437.44
27/02/2014,2047.35,7188.74,2154.11,328876.30,1.04,13483.03,(7520.26),343483.03,330000.00,1854.29,4318.93,6810.30,22828.18
28/02/2014,2056.30,7365.93,2178.97,328876.30,1.07,21358.41,7875.38,351358.41,330000.00,1859.45,4308.12,6809.70,22836.96
01/03/2014,2056.30,7365.93,2178.97,328876.30,1.07,21358.41,0.00,351358.41,330000.00,1859.45,4308.12,6809.70,22836.96
02/03/2014,2056.30,7365.93,2178.97,328876.30,1.07,21358.41,0.00,351358.41,330000.00,1859.45,4308.12,6809.70,22836.96
03/03/2014,2075.23,7391.91,2190.37,328876.30,1.08,25425.00,4066.59,355425.00,330000.00,1845.73,4277.30,6708.40,22500.67
04/03/2014,2071.47,7347.11,2184.27,328876.30,1.07,22474.00,(2951.00),352474.00,330000.00,1873.91,4351.97,6823.80,22657.63
05/03/2014,2053.08,7298.13,2163.98,328876.30,1.06,18386.00,(4088.00),348386.00,330000.00,1873.81,4357.97,6775.40,22579.78
06/03/2014,2059.58,7352.03,2173.63,328876.30,1.08,24078.01,5692.01,354078.01,330000.00,1877.03,4352.13,6788.50,22702.97
07/03/2014,2057.91,7328.48,2168.36,328876.30,1.07,22382.80,(1695.21),352382.80,330000.00,1878.04,4336.22,6712.70,22660.49
08/03/2014,2057.91,7328.48,2168.36,328876.30,1.07,22382.80,0.00,352382.80,330000.00,1878.04,4336.22,6712.70,22660.49
09/03/2014,2057.91,7328.48,2168.36,328876.30,1.07,22382.80,0.00,352382.80,330000.00,1878.04,4336.22,6712.70,22660.49
10/03/2014,1999.06,7118.44,2097.79,338209.23,1.06,18294.89,(4087.91),358294.89,340000.00,1877.17,4334.45,6689.50,22264.93
11/03/2014,2001.16,7212.57,2108.66,338209.23,1.08,23789.48,5494.59,363789.48,340000.00,1867.63,4307.19,6685.50,22269.61
12/03/2014,1997.69,7217.02,2114.13,338209.23,1.08,25177.68,1388.20,365177.68,340000.00,1868.20,4323.33,6620.90,21901.95
13/03/2014,2019.11,7319.29,2140.33,338209.23,1.08,25061.92,(115.76),365061.92,340000.00,1846.34,4260.42,6553.80,21756.08
14/03/2014,2004.34,7239.06,2122.84,338209.23,1.07,23159.56,(1902.36),363159.56,340000.00,1841.13,4245.40,6527.90,21539.49
15/03/2014,2004.34,7239.06,2122.84,338209.23,1.07,23159.56,0.00,363159.56,340000.00,1841.13,4245.40,6527.90,21539.49
16/03/2014,2004.34,7239.06,2122.84,338209.23,1.07,23159.56,0.00,363159.56,340000.00,1841.13,4245.40,6527.90,21539.49
17/03/2014,2023.67,7340.62,2143.04,347522.20,1.09,27999.78,4840.22,377999.78,350000.00,1858.83,4279.95,6568.40,21473.95
18/03/2014,2025.20,7273.95,2138.13,356715.91,1.07,23186.78,(4813.00),383186.78,360000.00,1872.25,4333.31,6605.30,21583.50
19/03/2014,2021.73,7150.12,2120.87,366025.10,1.05,14792.43,(8394.35),384792.43,370000.00,1860.77,4307.60,6573.10,21568.69
20/03/2014,1993.48,6998.19,2086.97,394561.92,1.03,7980.00,(6812.43),407980.00,400000.00,1872.01,4319.29,6542.40,21182.16
21/03/2014,2047.62,7241.57,2158.80,394561.92,1.06,17914.33,9934.33,417914.33,400000.00,1866.52,4276.79,6557.20,21436.70
22/03/2014,2047.62,7241.57,2158.80,394561.92,1.06,17914.33,0.00,417914.33,400000.00,1866.52,4276.79,6557.20,21436.70
23/03/2014,2047.62,7241.57,2158.80,394561.92,1.06,17914.33,0.00,417914.33,400000.00,1866.52,4276.79,6557.20,21436.70
24/03/2014,2066.28,7273.76,2176.55,385120.71,1.06,18372.00,457.67,408372.00,390000.00,1857.44,4226.39,6520.40,21846.45
25/03/2014,2067.31,7252.35,2174.44,380405.39,1.06,18294.00,(78.00),403294.00,385000.00,1865.62,4234.27,6604.90,21732.32
26/03/2014,2063.67,7244.19,2171.05,380405.39,1.07,20269.00,1975.00,405269.00,385000.00,1852.56,4173.58,6605.30,21887.75
27/03/2014,2046.59,7173.02,2155.71,380405.39,1.06,16799.84,(3469.16),401799.84,385000.00,1849.04,4151.23,6588.30,21834.45
28/03/2014,2041.71,7165.57,2151.97,380405.39,1.07,21373.94,4574.10,406373.94,385000.00,1857.62,4155.76,6615.60,22065.53
29/03/2014,2041.71,7165.57,2151.97,380405.39,1.07,21373.94,0.00,406373.94,385000.00,1857.62,4155.76,6615.60,22065.53
30/03/2014,2041.71,7165.57,2151.97,380405.39,1.07,21373.94,0.00,406373.94,385000.00,1857.62,4155.76,6615.60,22065.53
31/03/2014,2033.31,7189.58,2146.30,375724.91,1.09,28137.77,6763.83,408137.77,380000.00,1872.34,4198.99,6598.40,22151.06
01/04/2014,2047.46,7281.11,2163.11,375724.91,1.10,33824.00,5686.23,413824.00,380000.00,1885.52,4268.04,6652.60,22448.54
02/04/2014,2058.99,7333.59,2180.73,371185.24,1.10,34085.43,261.43,409085.43,375000.00,1890.90,4276.46,6659.00,22523.94
03/04/2014,2043.70,7298.00,2165.01,366648.47,1.10,35036.53,951.10,405036.53,370000.00,1888.77,4237.74,6649.10,22565.08
